01/04/2025 14:02:27 - 0152:	 - train_loss: 0.313763:	 - test_loss: 0.232734:	 mIoU 0.7842
01/04/2025 14:02:46 - 0153:	 - train_loss: 0.301469:	 - test_loss: 0.230170:	 mIoU 0.7851
01/04/2025 14:03:06 - 0154:	 - train_loss: 0.295914:	 - test_loss: 0.229214:	 mIoU 0.7875
01/04/2025 14:03:26 - 0155:	 - train_loss: 0.298269:	 - test_loss: 0.216515:	 mIoU 0.8020
01/04/2025 14:03:46 - 0156:	 - train_loss: 0.314021:	 - test_loss: 0.235861:	 mIoU 0.7779
01/04/2025 14:04:09 - 0157:	 - train_loss: 0.287484:	 - test_loss: 0.223649:	 mIoU 0.7913
01/04/2025 14:04:31 - 0158:	 - train_loss: 0.302981:	 - test_loss: 0.224530:	 mIoU 0.7960
01/04/2025 14:04:50 - 0159:	 - train_loss: 0.290204:	 - test_loss: 0.223368:	 mIoU 0.7946
01/04/2025 14:05:10 - 0160:	 - train_loss: 0.299428:	 - test_loss: 0.223041:	 mIoU 0.7995
01/04/2025 14:05:29 - 0161:	 - train_loss: 0.294068:	 - test_loss: 0.222954:	 mIoU 0.7965
01/04/2025 14:05:48 - 0162:	 - train_loss: 0.294378:	 - test_loss: 0.230937:	 mIoU 0.7915
01/04/2025 14:06:08 - 0163:	 - train_loss: 0.313925:	 - test_loss: 0.234614:	 mIoU 0.7878
01/04/2025 14:06:28 - 0164:	 - train_loss: 0.300790:	 - test_loss: 0.213998:	 mIoU 0.8074
01/04/2025 14:06:47 - 0165:	 - train_loss: 0.277785:	 - test_loss: 0.241542:	 mIoU 0.7792
01/04/2025 14:07:06 - 0166:	 - train_loss: 0.287556:	 - test_loss: 0.230405:	 mIoU 0.7838
01/04/2025 14:07:26 - 0167:	 - train_loss: 0.282459:	 - test_loss: 0.252496:	 mIoU 0.7768
01/04/2025 14:07:45 - 0168:	 - train_loss: 0.299579:	 - test_loss: 0.216996:	 mIoU 0.7998
01/04/2025 14:08:04 - 0169:	 - train_loss: 0.286778:	 - test_loss: 0.218911:	 mIoU 0.8016
01/04/2025 14:08:24 - 0170:	 - train_loss: 0.296800:	 - test_loss: 0.223373:	 mIoU 0.7972
01/04/2025 14:08:43 - 0171:	 - train_loss: 0.317294:	 - test_loss: 0.227568:	 mIoU 0.7888
01/04/2025 14:09:03 - 0172:	 - train_loss: 0.264740:	 - test_loss: 0.219402:	 mIoU 0.7931
01/04/2025 14:09:22 - 0173:	 - train_loss: 0.281069:	 - test_loss: 0.213933:	 mIoU 0.8054
01/04/2025 14:09:42 - 0174:	 - train_loss: 0.284360:	 - test_loss: 0.220534:	 mIoU 0.8029
01/04/2025 14:10:01 - 0175:	 - train_loss: 0.279210:	 - test_loss: 0.212162:	 mIoU 0.8061
